optimizer,window,metric,statistic,n_seed,n_valid,paired_seed_median,ci95_low,ci95_high
sgd,early,Rstar_local,difference,5,5,-3.1107946599914484,-4.830752772291319,1.5188417080484413
sgd,early,c,ratio,5,0,,,
sgd,early,c,difference,5,5,0.0923862776999701,0.08167989981369893,0.11319686790050967
sgd,early,d_eff,ratio,5,5,0.5201461771223324,0.5051980514758818,0.5305238029444964
sgd,early,d_eff,difference,5,5,-7.831595015577374,-8.195496448787386,-7.583009552031662
sgd,early,raw_D_F,ratio,5,5,0.6942405024565848,0.6727042527537618,0.7177919313601582
sgd,early,raw_D_F,difference,5,5,-5.463627597813391,-6.023925599548628,-5.0238751871685245
sgd,early,raw_W_F,ratio,5,5,0.9703741039760595,0.9487183392819896,0.9829059490874946
sgd,early,raw_W_F,difference,5,5,-1.0559117796812743,-1.8535792113339795,-0.6097174906331091
sgd,early,raw_W_RMS,ratio,5,5,1.9407482079521197,1.8974366785639796,1.9658118981749892
sgd,early,raw_W_RMS,difference,5,5,0.06049492387994884,0.05852511538887038,0.06215350234048095
sgd,early,top10_Q_fraction,ratio,5,5,1.093851693278719,1.07002784427058,1.100827550193054
sgd,early,top10_Q_fraction,difference,5,5,0.06821457665292818,0.05303016501791624,0.07387799631834868
sgd,early,train_acc,ratio,5,5,0.6270661044815722,0.6061246359946826,0.6979110817244581
sgd,early,train_acc,difference,5,5,-0.29458335041999817,-0.31083330512046814,-0.23500001430511475
sgd,late,R,ratio,5,5,0.6578238509392167,0.6510174103695279,0.6738143585379719
sgd,late,R,difference,5,5,-14.043022209598782,-14.36700035107495,-13.397603171529909
sgd,late,R_over_Rstar_local,ratio,5,5,0.9262001708690955,0.8317581992878283,1.1716276483833035
sgd,late,R_over_Rstar_local,difference,5,5,-0.07828343321860609,-0.17898762157817327,0.15938746206676702
sgd,late,Rstar_local,ratio,5,5,0.7069431167057172,0.5540130471978789,0.8119059365385789
sgd,late,Rstar_local,difference,5,5,-11.447866836797445,-19.986550330851596,-7.202411883726054
sgd,late,c,ratio,5,0,,,
sgd,late,c,difference,5,5,0.05840525951371142,0.02117790670382025,0.06851730839780348
sgd,late,d_eff,ratio,5,5,0.510444724499871,0.48773383460200037,0.5172561056556926
sgd,late,d_eff,difference,5,5,-7.880352572711894,-8.324150063985975,-7.591901776697382
sgd,late,raw_D_F,ratio,5,5,0.7226033487642101,0.709412960379087,0.7436121646531508
sgd,late,raw_D_F,difference,5,5,-4.982442263024037,-5.338664685132358,-4.553059564265759
sgd,late,raw_W_F,ratio,5,5,0.8173934711666664,0.808016548341085,0.8331127169705466
sgd,late,raw_W_F,difference,5,5,-9.733578475817502,-10.144786996235126,-8.75751786125241
sgd,late,raw_W_RMS,ratio,5,5,1.6347869423333325,1.61603309668217,1.6662254339410933
sgd,late,raw_W_RMS,difference,5,5,0.06068109780090167,0.05873170072064551,0.06307661663325236
sgd,late,top10_Q_fraction,ratio,5,5,1.0814900770609104,1.0798923785817471,1.1123549302781246
sgd,late,top10_Q_fraction,difference,5,5,0.0613794771872711,0.05970255933575652,0.08132192583023512
sgd,late,train_acc,ratio,5,5,0.6454494899060483,0.6329185443477967,0.6565367072186035
sgd,late,train_acc,difference,5,5,-0.2645833194255829,-0.2704166769981385,-0.24916668236255646
