geometry,optimizer,seed,status,last_saved_task,first_nonfinite_task,n_transitions,calibration_first_task,calibration_last_task,heldout_first_task,heldout_last_task,qbar,gamma,split_V,heldout_mape,constant_split_mape,negative_prediction,unstable_gamma,positive_predictions,P3,late_n_transitions,late_endpoint_relative_change,late_median_relative_increment,late_loglog_slope,late_halves_ratio,late_nearbalance,late_activity,late_invalid_V,late_zero_Q_count,late_negative_c_fraction,P1,P2,stopped,raw_minus_effective_slope,P4,low_response_onset_task,response_censoring,late_median_R,late_median_d_eff,late_median_c,late_median_rho,late_median_train_acc,late_median_top10_Q_fraction,late_mean_shift_sq,dynamics_label
avg16,adam,300,COMPLETE,50,,50,6,25,26,50,818.4006594137047,0.1540473723555511,2903.2070998113336,0.22355611097249667,0.15933930053952988,False,False,True,FAIL,10,0.09675888143880346,0.01962478744446846,0.4631956685724397,1.0679828553750996,0.9653984733933462,2.657118554062083,False,0,1.0,PASS,FAIL,False,0.3821401837871338,NOT_ESTABLISHED,,NO_LOW_RESPONSE,60.96562809050205,31.40200583459969,-0.24546295120489076,0.5180246095382226,0.8966667056083679,0.7583389869428838,2158.9437136220336,NEAR_BALANCE_WITH_ACTIVITY
avg16,adam,301,COMPLETE,50,,50,6,25,26,50,802.7927129645534,0.15063839121055228,3104.2000574565286,0.21557570907899629,0.10667620621617324,False,False,True,FAIL,10,0.17496443245521692,0.015579356319833466,0.48017395764536636,1.043427656925892,0.9415206432048415,2.7591016093746044,False,0,1.0,PASS,FAIL,False,0.3359627019414491,NOT_ESTABLISHED,,NO_LOW_RESPONSE,60.986407997445674,31.89315092609744,-0.24501337691060915,0.5218808777510417,0.9141666889190674,0.7498285167229718,2520.0564101531663,NEAR_BALANCE_WITH_ACTIVITY
avg16,adam,302,COMPLETE,50,,50,6,25,26,50,829.8624410388138,0.153551351529605,3080.7623626059435,0.2222881324376669,0.12841246650588914,False,False,True,FAIL,10,0.027496750766526606,0.0011179310545865854,0.14353450268871967,1.0208966480871369,0.9898012438238526,2.626453018898734,False,0,1.0,PASS,PASS,False,0.6421656670428224,SEPARATED,,NO_LOW_RESPONSE,61.85792845220958,31.798850584426255,-0.257561347893716,0.5200677794668518,0.8983333706855774,0.7551633647955864,2386.0948583886943,PLATEAU_WITH_ACTIVITY
avg16,adam,303,COMPLETE,50,,50,6,25,26,50,803.3613558647141,0.1476580929001373,3062.7974690204583,0.2039134275701893,0.11680898560179984,False,False,True,FAIL,10,0.160200669665251,0.0190372433242749,0.4981791688227828,1.044847906011425,0.9446181861487634,2.782545421089869,False,0,1.0,PASS,FAIL,False,0.31523059702986034,NOT_ESTABLISHED,,NO_LOW_RESPONSE,60.8035785998122,32.431526560402276,-0.24899780907432834,0.5311476471147615,0.9133333563804626,0.7674047002126043,2608.2125326082955,NEAR_BALANCE_WITH_ACTIVITY
avg16,adam,304,COMPLETE,50,,50,6,25,26,50,794.8226025445884,0.1520644722244528,2961.16163796808,0.21900412679506723,0.1322766453414554,False,False,True,FAIL,10,0.07896223790083393,0.01599320537319957,0.33251569372984163,1.0423721062028468,0.9719376033066179,2.6826955025210157,False,0,1.0,PASS,FAIL,False,0.4877056749908298,NOT_ESTABLISHED,,NO_LOW_RESPONSE,60.835393768314205,31.317641683557873,-0.2493865476803874,0.5183882896424281,0.897916704416275,0.7529413023839877,2476.3308150738735,NEAR_BALANCE_WITH_ACTIVITY
avg16,sgd,300,COMPLETE,50,,50,6,25,26,50,69.12305050275927,0.04252512252350912,737.450304629254,0.06804481331201752,0.017528551579511196,False,False,True,FAIL,10,0.034752030060138085,0.010788706145461886,0.10993022135909286,1.018281970827074,0.962761449047948,0.9250045520726132,False,0,1.0,PASS,PASS,False,0.2173927119825823,SEPARATED,,NO_LOW_RESPONSE,27.32278463310616,8.424102651620137,-0.1314286593657799,0.30906647327171966,0.46625000238418574,0.817890686613995,466.381137648012,PLATEAU_WITH_ACTIVITY
avg16,sgd,301,COMPLETE,50,,50,6,25,26,50,68.62937171428385,0.040986573742136864,760.5400566211707,0.06590173475469169,0.019571122228383878,False,False,True,FAIL,10,-0.013461622203154725,0.010149965769460393,0.13537896192450286,1.0383052999653337,1.0150429432442933,0.8712836531467401,False,0,1.0,PASS,PASS,False,0.16346048475915223,NOT_ESTABLISHED,,NO_LOW_RESPONSE,27.67594964176751,8.134660207083213,-0.13205138130652275,0.2981137653144941,0.47708335518836975,0.8051168285454959,465.13012922605066,PLATEAU_WITH_ACTIVITY
avg16,sgd,302,COMPLETE,50,,50,6,25,26,50,68.4981529549698,0.039906190371329114,722.9258224787287,0.12971940123035874,0.02147833276081048,False,False,True,FAIL,10,0.06833289080479177,0.006398580676970158,0.24137784787205088,1.0282169139326707,0.9239106797289586,0.8757040278714465,False,0,1.0,PASS,FAIL,False,0.09178917299183706,NOT_ESTABLISHED,,NO_LOW_RESPONSE,26.80124350397743,7.925508075193718,-0.1382463439628534,0.2958288974895929,0.47291669249534607,0.7938495912706774,457.838634905377,NEAR_BALANCE_WITH_ACTIVITY
avg16,sgd,303,COMPLETE,50,,50,6,25,26,50,71.68179677641014,0.04046751020890943,746.2602220096672,0.12776341692129384,0.02286456076187732,False,False,True,FAIL,10,0.03417006546116761,0.0014645474886446153,0.1139022453008917,1.016574487405482,0.9640784395189597,0.9336916635481595,False,0,1.0,PASS,PASS,False,0.29015613235950904,SEPARATED,,NO_LOW_RESPONSE,26.99730818205635,8.155781852355119,-0.1439893323760249,0.3057377735302096,0.4737500101327896,0.8083160274696295,442.39922824958694,PLATEAU_WITH_ACTIVITY
avg16,sgd,304,COMPLETE,50,,50,6,25,26,50,67.81946182497964,0.03969036425049776,761.5025494209631,0.10071587218662444,0.039192300892225085,False,False,True,FAIL,10,0.0011172705669567377,-0.007370605267611359,-0.09068738607286986,0.981700397231978,0.9987596635177388,0.9218829171209034,False,0,1.0,PASS,PASS,False,0.49400450060452944,SEPARATED,,NO_LOW_RESPONSE,26.895672604510843,8.104901705454822,-0.15740668646682165,0.30204214241870997,0.4816666841506958,0.7923385009011497,445.20942410140543,PLATEAU_WITH_ACTIVITY
